prec1_train,prec1_val,prec5_train,prec5_val,loss_train,loss_val
42.90200,49.10000,90.08000,93.67000,1.8989698672866822,1.626334306907654
55.27000,58.95000,94.80400,95.69000,1.3678051848602295,1.2948143074035645
61.41600,62.05000,96.17400,96.67000,1.1748050815200806,1.1730331188201903
64.85800,61.53000,96.76200,96.56000,1.077059815979004,1.2182469369888305
67.04200,66.56000,97.26000,97.21000,1.0131343161964417,1.079078210735321
68.85800,65.35000,97.61000,97.40000,0.9622592549705505,1.121959541130066
70.65800,68.98000,97.83600,97.01000,0.9176497945404053,1.0365602912902832
72.26000,70.80000,98.03600,98.18000,0.8748207321166992,0.9372069204330444
73.67400,70.94000,98.23600,97.90000,0.8379307216262818,0.963711249256134
74.86400,64.53000,98.34400,97.80000,0.8077529048156739,1.1933657592773437
75.70200,72.03000,98.50400,97.82000,0.7834975376701355,0.9559163458824158
76.67400,69.89000,98.53200,97.21000,0.759246484375,1.0514832893371582
76.96200,67.26000,98.68000,97.46000,0.7421193715286255,1.1514742461204528
77.91200,75.06000,98.73000,98.35000,0.7238295219230652,0.8682095344543457
78.42000,74.16000,98.80200,98.38000,0.7051106901359558,0.9103582334518433
78.76000,76.93000,98.75800,98.54000,0.6971032622909545,0.7992158163070678
79.31400,77.53000,98.93200,98.80000,0.6811777711868287,0.7521074620246887
79.91200,77.43000,98.97000,98.24000,0.6660834625434876,0.7968565351486206
80.27200,70.95000,98.99800,98.18000,0.6539000561141968,1.083219655418396
80.50400,78.25000,98.96800,98.95000,0.6463385376739502,0.7162018468856811
80.96800,79.01000,99.02600,98.85000,0.6389041513824463,0.7259831815719604
81.40000,78.38000,99.08200,98.46000,0.6239070891952515,0.753416303730011
81.73000,75.07000,99.07800,97.79000,0.6175406830978394,0.878932331943512
81.98000,75.79000,99.15400,98.57000,0.6062999165344238,0.8644981140136718
82.27000,75.62000,99.09400,98.45000,0.6041623084640503,0.81458498878479
82.45600,77.06000,99.19800,98.70000,0.5916409040927887,0.787193599319458
82.71200,79.33000,99.16200,98.63000,0.59031258644104,0.717660021018982
82.90600,79.85000,99.25600,98.47000,0.5801704829406739,0.7269882953643799
83.04000,77.77000,99.28600,98.86000,0.5720445205593109,0.7545667298316956
83.17200,79.07000,99.29000,99.08000,0.5695089420795441,0.7192670546531678
83.20200,78.34000,99.26800,98.58000,0.5690581282234192,0.7514499390602112
83.56800,79.08000,99.26800,98.81000,0.5589848490142822,0.7516843551635742
83.70000,76.73000,99.29800,98.92000,0.5555454091072083,0.8343966547012329
83.87400,78.46000,99.33200,98.83000,0.5474219458007813,0.7398343329429626
83.98000,79.93000,99.29400,98.82000,0.5453821411323547,0.734661775970459
84.08400,81.26000,99.32200,99.01000,0.545427242679596,0.657549389743805
84.31600,82.53000,99.38400,99.16000,0.5381826543426513,0.62057216796875
84.42200,79.86000,99.41400,98.96000,0.5323953800773621,0.711889204788208
84.53400,82.95000,99.29400,98.99000,0.5306693328666687,0.6214026931285859
84.70400,78.58000,99.42000,98.81000,0.5236951943969727,0.7641181982040405
84.86600,80.70000,99.40800,99.04000,0.5212317729377747,0.6824483469009399
85.02000,80.60000,99.40800,98.82000,0.5139278565216064,0.7332035666465759
85.09400,76.71000,99.40200,98.16000,0.5126028407478332,0.8492907392501831
85.25400,81.83000,99.43800,99.29000,0.5104186370849609,0.64072752866745
85.35000,75.16000,99.37600,97.82000,0.5088650555706025,0.9271229122161865
85.27800,80.64000,99.47600,98.76000,0.5048344781303405,0.6986188179016113
85.41400,82.20000,99.41800,99.17000,0.5025844376182557,0.6308629390716552
85.38000,80.17000,99.47800,98.80000,0.5011181221008301,0.7120046306610107
85.65000,76.92000,99.43200,97.57000,0.4994298610687256,0.8493683763504029
85.91000,82.03000,99.48400,99.28000,0.4934648257064819,0.6320639585971832
85.77200,81.17000,99.46400,98.96000,0.49377242242813113,0.6748648239135742
